City,Counties,State
Altoona,"Etowah, Blount",Alabama
Arab,"Marshall, Cullman",Alabama
Argo,"St. Clair, Jefferson",Alabama
Birmingham,"Jefferson, Shelby",Alabama
Boaz,"Marshall, Etowah",Alabama
Calera,"Chilton, Shelby",Alabama
Collinsville,"DeKalb, Cherokee",Alabama
County Line,"Blount, Jefferson",Alabama
Decatur,"Morgan, Limestone",Alabama
Dothan,"Houston, Dale, Henry",Alabama
Enterprise,"Coffee, Dale",Alabama
Garden City,"Cullman, Blount",Alabama
Glen Allen,"Fayette, Marion",Alabama
Glencoe,"Etowah, Calhoun",Alabama
Gu-Win,"Fayette, Marion",Alabama
Haleyville,"Winston, Marion",Alabama
Helena,"Shelby, Jefferson",Alabama
Hoover,"Jefferson, Shelby",Alabama
Huntsville,"Madison, Limestone, Morgan",Alabama
Leeds,"Jefferson, St. Clair, Shelby",Alabama
Madison,"Madison, Limestone",Alabama
McKenzie,"Butler, Conecuh",Alabama
Millbrook,"Autauga, Elmore",Alabama
Moundville,"Hale, Tuscaloosa",Alabama
Nauvoo,"Walker, Winston",Alabama
Notasulga,"Macon, Lee",Alabama
Oxford,"Calhoun, Talladega",Alabama
Phenix City,"Russell, Lee",Alabama
Piedmont,"Calhoun, Cherokee",Alabama
Prattville,"Autauga, Elmore",Alabama
Sand Rock,"Cherokee, DeKalb",Alabama
Sardis City,"Etowah, Marshall",Alabama
Southside,"Calhoun, Etowah",Alabama
Sumiton,"Walker, Jefferson",Alabama
Tallassee,"Elmore, Tallapoosa",Alabama
Taylor,"Houston, Geneva",Alabama
Trafford,"Jefferson, Blount",Alabama
Trussville,"Jefferson, St. Clair",Alabama
Vance,"Tuscaloosa, Bibb",Alabama
Vestavia Hills,"Jefferson, Shelby",Alabama
Vincent,"Shelby, St. Clair, Talladega",Alabama
Warrior,"Blount, Jefferson",Alabama
Waverly,"Chambers, Lee",Alabama
Winfield,"Marion, Fayette",Alabama
Woodstock,"Bibb, Tuscaloosa",Alabama
Apache Junction,"Maricopa, Pinal",Arizona
Hayden,"Gila, Pinal",Arizona
Peoria,"Maricopa, Yavapai",Arizona
Marana,"Pima, Pinal",Arizona
Queen Creek,"Maricopa, Pinal",Arizona
Sedona,"Yavapai, Coconino",Arizona
Wickenburg,"Maricopa, Yavapai",Arizona
Winkelman,"Gila, Pinal",Arizona
Alexander,"Pulaski, Saline",Arkansas
Alpena,"Boone, Carroll",Arkansas
Ash Flat,"Sharp, Fulton",Arkansas
Big Flat,"Baxter, Searcy",Arkansas
Cave City,"Independence, Sharp",Arkansas
Cherokee Village,"Sharp, Fulton",Arkansas
Damascus,"Van Buren, Faulkner",Arkansas
Elm Springs,"Washington, Benton",Arkansas
Emmet,"Nevada, Hempstead",Arkansas
Fairfield Bay,"Van Buren, Cleburne",Arkansas
Glenwood,"Pike, Montgomery",Arkansas
Hardy,"Sharp, Fulton",Arkansas
Horseshoe Bend,"Izard, Fulton, Sharp",Arkansas
Humphrey,"Arkansas, Jefferson",Arkansas
Mansfield,"Sebastian, Scott",Arkansas
Quitman,"Cleburne, Faulkner",Arkansas
Springdale,"Washington, Benton",Arkansas
Tillar,"Drew, Desha",Arkansas
City of Arvada,"Jefferson, Adams",Colorado
City of Aurora,"Arapahoe, Adams, Douglas",Colorado
Town of Basalt,"Eagle, Pitkin",Colorado
Town of Bennett,"Adams, Arapahoe",Colorado
Town of Berthoud,"Larimer, Weld",Colorado
Town of Bow Mar,"Arapahoe, Jefferson",Colorado
City of Brighton,"Adams,[1] Weld",Colorado
Town of Center,"Rio Grande, Saguache",Colorado
City of Central (Central City),"Gilpin,[1] Clear Creek",Colorado
Town of Erie,"Boulder, Weld",Colorado
Town of Green Mountain Falls,"El Paso, Teller",Colorado
Town of Johnstown,"Weld, Larimer",Colorado
City of Littleton,"Arapahoe,[1] Jefferson, Douglas",Colorado
Town of Lochbuie,"Weld, Adams",Colorado
City of Longmont,"Boulder, Weld",Colorado
City of Northglenn,"Adams, Weld",Colorado
Town of Superior,"Boulder, Jefferson",Colorado
City of Thornton,"Adams, Weld",Colorado
City of Westminster,"Adams, Jefferson",Colorado
Town of Windsor,"Weld, Larimer",Colorado
Milford,"Kent, Sussex",Delaware
Smyrna,"Kent, New Castle",Delaware
Clayton,"Kent, New Castle",Delaware
Fanning Springs,"Gilchrist, Levy",Florida
Longboat Key,"Manatee, Sarasota",Florida
Marineland,"Flagler, St. Johns",Florida
Allentown,"Bleckley, Laurens, Twiggs, Wilkinson",Georgia
Alto,"Habersham, Banks",Georgia
Atlanta,"Fulton, DeKalb",Georgia
Auburn,"Barrow, Gwinnett",Georgia
Austell,"Cobb, Douglas",Georgia
Baldwin,"Habersham, Banks",Georgia
Barwick,"Brooks, Thomas",Georgia
Braselton,"Jackson, Gwinnett, Hall, Barrow",Georgia
Braswell,"Paulding, Polk",Georgia
Bremen,"Haralson, Carroll",Georgia
Bogart,"Oconee, Clarke",Georgia
Buford,"Gwinnett, Hall",Georgia
College Park,"Fulton, Clayton",Georgia
Fort Oglethorpe,"Catoosa, Walker",Georgia
Gillsville,"Hall, Banks",Georgia
Haralson,"Coweta, Meriwether",Georgia
Loganville,"Gwinnett, Walton",Georgia
Lula,"Hall, Banks",Georgia
Manchester,"Meriwether, Talbot",Georgia
Maysville,"Banks, Jackson",Georgia
Mountain Park,"Fulton, Cherokee",Georgia
Nelson,"Pickens, Cherokee",Georgia
Palmetto,"Fulton, Coweta",Georgia
Pavo,"Thomas, Brooks",Georgia
Perry,"Houston, Peach",Georgia
Pine Mountain,"Harris, Meriwether",Georgia
Rest Haven,"Gwinnett, Hall",Georgia
Social Circle,"Walton, Newton",Georgia
Tallulah Falls,"Rabun, Habersham",Georgia
Taylorsville,"Bartow, Polk",Georgia
Villa Rica,"Douglas, Carroll",Georgia
Warner Robins,"Houston, Peach",Georgia
West Point,"Troup, Harris",Georgia
Pocatello,"Bannock,[1] Power",Idaho
Aurora,"Kane, DuPage, Will, Kendall",Ilinois
Bartlett,"DuPage, Cook, Kane",Ilinois
Barrington Hills,"Cook, McHenry, Lake, Kane",Ilinois
Bolingbrook,"Will, DuPage",Ilinois
Buffalo Grove,"Lake, Cook",Ilinois
Burr Ridge,"Cook, DuPage",Ilinois
Centralia,"Clinton, Jefferson, Marion, Washington[2]",Ilinois
Chicago,"Cook, DuPage",Ilinois
Deerfield,"Lake, Cook",Ilinois
East Dundee,"Kane, Cook",Ilinois
Elgin,"Kane, Cook",Ilinois
Elmhurst,"DuPage, Cook",Ilinois
Hanover Park,"Cook, DuPage",Ilinois
Hinsdale,"DuPage, Cook",Ilinois
Joliet,"Will[1], Kendall",Ilinois
Lemont,"Cook, DuPage, Will",Ilinois
Naperville,"DuPage, Will",Ilinois
Sandwich,"DeKalb, Kendall",Ilinois
St. Charles,"Kane, DuPage",Ilinois
Steger,"Will, Cook",Ilinois
Wayne,"DuPage, Kane",Ilinois
Albany,"Delaware, Randolph",Indiana
Ashley,"DeKalb, Steuben",Indiana
Batesville,"Ripley, Franklin",Indiana
Chesterfield,"Madison, Delaware",Indiana
Converse,"Miami, Grant",Indiana
Cumberland,"Marion, Hancock",Indiana
Dunkirk,"Jay, Blackford",Indiana
Edinburgh,"Johnson, Bartholomew, Shelby",Indiana
Elwood,"Madison, Tipton",Indiana
Glenwood,"Rush, Fayette",Indiana
Hamilton,"Steuben, DeKalb",Indiana
Jamestown,"Boone, Hendricks",Indiana
Markle,"Huntington, Wells",Indiana
Milltown,"Crawford, Harrison",Indiana
Nappanee,"Elkhart, Kosciusko",Indiana
Otterbein,"Benton, Tippecanoe",Indiana
St. Paul,"Decatur, Shelby",Indiana
Shirley,"Hancock, Henry",Indiana
Wolcottville,"LaGrange, Noble",Indiana
Zanesville,"Wells, Allen",Indiana
Des Moines,"Polk, Warren",Iowa
Eddyville,"Wapello, Mahaska, Monroe",Iowa
Gilmore City,"Pocahontas, Humboldt",Iowa
Sheldahl,"Polk, Story, Boone",Iowa
West Des Moines,"Polk, Dallas, Warren",Iowa
Bonner Springs,"Wyandotte, Johnson",Kansas
