County,County Code,Deaths,Population,Crude Rate
"Baldwin County, AL",1003,26,218022,11.9
"Calhoun County, AL",1015,32,114277,28
"Coffee County, AL",1031,11,51909,Unreliable
"Colbert County, AL",1033,13,54762,Unreliable
"Dale County, AL",1045,14,48956,Unreliable
"Dallas County, AL",1047,20,38310,52.2
"DeKalb County, AL",1049,11,71385,Unreliable
"Elmore County, AL",1051,22,81887,26.9
"Etowah County, AL",1055,22,102501,21.5
"Houston County, AL",1069,23,104722,22
"Jackson County, AL",1071,15,51736,Unreliable
"Jefferson County, AL",1073,203,659300,30.8
"Lauderdale County, AL",1077,11,92387,Unreliable
"Lawrence County, AL",1079,13,32957,Unreliable
"Lee County, AL",1081,27,163941,16.5
"Limestone County, AL",1083,24,96174,25
"Madison County, AL",1089,66,366519,18
"Marshall County, AL",1095,13,96109,Unreliable
"Mobile County, AL",1097,92,413757,22.2
"Montgomery County, AL",1101,58,225763,25.7
"Morgan County, AL",1103,29,119089,24.4
"Russell County, AL",1113,18,57781,Unreliable
"St. Clair County, AL",1115,22,88690,24.8
"Shelby County, AL",1117,28,215707,13
"Talladega County, AL",1121,17,79828,Unreliable
"Tuscaloosa County, AL",1125,33,208911,15.8
"Walker County, AL",1127,14,63711,Unreliable
"Anchorage Borough, AK",2020,53,291538,18.2
"Fairbanks North Star Borough, AK",2090,28,98971,28.3
"Kenai Peninsula Borough, AK",2122,11,58533,Unreliable
"Matanuska-Susitna Borough, AK",2170,20,107610,18.6
"Apache County, AZ",4001,14,71818,Unreliable
"Cochise County, AZ",4003,18,126770,Unreliable
"Coconino County, AZ",4005,20,142854,14
"Gila County, AZ",4007,22,53889,40.8
"La Paz County, AZ",4012,11,21098,Unreliable
"Maricopa County, AZ",4013,608,4410824,13.8
"Mohave County, AZ",4015,64,209550,30.5
"Navajo County, AZ",4017,23,110445,20.8
"Pima County, AZ",4019,178,1039073,17.1
"Pinal County, AZ",4021,61,447138,13.6
"Yavapai County, AZ",4025,63,231993,27.2
"Yuma County, AZ",4027,31,212128,14.6
"Baxter County, AR",5005,10,41619,Unreliable
"Benton County, AR",5007,20,272608,7.3
"Craighead County, AR",5031,13,108558,Unreliable
"Crawford County, AR",5033,11,63406,Unreliable
"Crittenden County, AR",5035,15,48342,Unreliable
"Faulkner County, AR",5045,23,124806,18.4
"Garland County, AR",5051,20,99154,20.2
"Greene County, AR",5055,12,45325,Unreliable
"Jefferson County, AR",5069,21,68114,30.8
"Lonoke County, AR",5085,14,73657,Unreliable
"Phillips County, AR",5107,12,18029,Unreliable
"Pope County, AR",5115,10,64000,Unreliable
"Pulaski County, AR",5119,103,392680,26.2
"Saline County, AR",5125,21,121421,17.3
"Sebastian County, AR",5131,19,127753,Unreliable
"Washington County, AR",5143,26,236961,11
"White County, AR",5145,13,78727,Unreliable
"Alameda County, CA",6001,113,1666753,6.8
"Amador County, CA",6005,10,39383,Unreliable
