State,County,Number of Unauthorized Immigrants,County Share of the Total Unauthorized Immigrant Population
United States,," 10,977,000 ",100.0%
California,"Los Angeles County, CA"," 880,000 ",8.0%
Texas,"Harris County, TX"," 466,000 ",4.2%
Texas,"Dallas County, TX"," 278,000 ",2.5%
Illinois,"Cook County, IL"," 263,000 ",2.4%
California,"Orange County, CA"," 223,000 ",2.0%
New York,"Queens County, NY"," 222,000 ",2.0%
Arizona,"Maricopa County, AZ"," 202,000 ",1.8%
Massachusetts,"Boston-Cambridge-Quincy,++ MA Metropolitan NECTA"," 177,000 ",1.6%
Florida,"Miami Dade-Monroe Counties, FL"," 176,000 ",1.6%
California,"San Diego County, CA"," 173,000 ",1.6%
New York,"Kings County, NY"," 164,000 ",1.5%
Nevada,"Clark County, NV"," 135,000 ",1.2%
California,"Santa Clara County, CA"," 134,000 ",1.2%
California,"Riverside County, CA"," 130,000 ",1.2%
New York,"Bronx County, NY"," 122,000 ",1.1%
California,"San Bernardino County, CA"," 117,000 ",1.1%
Texas,"Tarrant County, TX"," 114,000 ",1.0%
Florida,"Broward County, FL"," 113,000 ",1.0%
California,"Alameda County, CA"," 109,000 ",1.0%
Texas,"Hidalgo County, TX"," 100,000 ",0.9%
Washington,"King County, WA"," 94,000 ",0.9%
New York,"New York County, NY"," 93,000 ",0.8%
Colorado,"Suburban Denver Counties,+ CO"," 84,000 ",0.8%
Texas,"Travis County, TX"," 84,000 ",0.8%
Texas,"Bexar County, TX"," 83,000 ",0.8%
Florida,"Palm Beach County, FL"," 80,000 ",0.7%
Virginia,"Fairfax County-Fairfax City-Falls Church City, VA"," 75,000 ",0.7%
Maryland,"Prince George's County, MD"," 74,000 ",0.7%
Maryland,"Montgomery County, MD"," 73,000 ",0.7%
New Jersey,"Hudson County, NJ"," 71,000 ",0.6%
Georgia,"Gwinnett County, GA"," 69,000 ",0.6%
California,"Fresno County, CA"," 68,000 ",0.6%
California,"Contra Costa County, CA"," 66,000 ",0.6%
California,"Sacramento County, CA"," 64,000 ",0.6%
